student_id,subject,topic,difficulty,quiz_score,time_spent,accuracy,consistency,recommended_hours
1,Machine Learning,Clustering,Medium,100,57,52.16,Low,3.7
2,Operating Systems,Deadlocks,Medium,77,79,90.38,Medium,2.26
3,Operating Systems,Memory,Easy,53,54,94.78,Low,1.99
4,DSA,Stack,Hard,80,75,76.25,Low,3.37
5,Operating Systems,Memory,Medium,42,140,88.74,Low,2.74
6,Operating Systems,Deadlocks,Medium,79,57,62.34,Medium,3.1
7,DSA,Linked List,Easy,70,134,72.91,Low,1.96
8,Databases,Normalization,Medium,61,42,52.98,High,3.32
9,Python,Exceptions,Medium,92,149,71.7,High,1.9
10,Operating Systems,Deadlocks,Hard,45,108,75.96,Medium,2.7
11,Databases,SQL Basics,Hard,58,140,87.78,High,2.48
12,Operating Systems,Deadlocks,Medium,80,117,83.02,Low,2.69
13,Operating Systems,Memory,Easy,93,125,80.74,High,1.66
14,DSA,Stack,Hard,68,28,78.63,High,2.36
15,Databases,Normalization,Hard,86,121,82.55,Medium,2.74
16,Python,File Handling,Medium,70,72,98.23,High,2.37
17,Operating Systems,Memory,Easy,51,27,69.97,Low,2.89
18,Python,Basics,Hard,52,174,80.24,High,2.61
19,Python,OOP,Easy,58,151,85.34,High,1.3
20,Python,OOP,Hard,78,34,88.93,Medium,2.35
21,Databases,SQL Basics,Hard,79,74,77.18,Medium,2.65
22,Operating Systems,Processes,Medium,87,102,66.96,High,3.11
23,Databases,Indexes,Medium,90,99,96.48,Low,2.72
24,Databases,Normalization,Medium,69,124,79.39,High,2.26
25,Machine Learning,Regression,Medium,56,91,57.41,Medium,3.43
26,Python,Modules,Medium,63,140,78.31,Low,2.89
27,Python,Basics,Easy,85,180,58.84,Low,3.02
28,Operating Systems,Deadlocks,Easy,80,40,71.15,Low,2.32
29,Operating Systems,Threads,Medium,95,138,57.01,Low,3.76
30,Python,Modules,Medium,58,84,56.31,Low,3.37
31,DSA,Queue,Medium,48,118,93.01,High,2.14
32,Databases,Indexes,Medium,87,123,56.61,Low,3.39
33,Python,Modules,Medium,50,115,90.01,Medium,2.01
34,Databases,Joins,Medium,58,74,90.41,Medium,2.16
35,DSA,Queue,Medium,58,97,65.04,High,3.05
36,Python,OOP,Easy,68,97,78.59,Low,2.41
37,Operating Systems,Memory,Hard,100,168,50.23,Low,4.42
38,Machine Learning,SVM,Hard,57,166,82.33,Medium,2.47
39,Python,Exceptions,Hard,40,68,54.89,Medium,3.53
40,Python,Exceptions,Hard,73,161,73.63,Medium,2.37
41,Machine Learning,Classification,Easy,86,113,78.11,Medium,1.57
42,Operating Systems,Deadlocks,Easy,72,130,72.02,Medium,1.24
43,Machine Learning,Neural Networks,Medium,80,49,56.11,Low,3.68
44,DSA,Graphs,Easy,77,154,50.67,Low,2.86
45,Machine Learning,Clustering,Medium,51,121,76.03,High,1.71
46,DSA,Stack,Medium,53,31,79.01,High,1.95
47,DSA,Graphs,Medium,76,139,64.15,Medium,2.98
48,Databases,Indexes,Medium,76,67,80.19,Low,2.71
49,Machine Learning,Neural Networks,Hard,41,137,74.34,Low,2.73
50,Operating Systems,Deadlocks,Medium,70,123,76.23,Low,2.83
51,Operating Systems,Deadlocks,Easy,77,82,76.02,Medium,1.91
52,Databases,Indexes,Hard,62,69,50.84,Medium,3.36
53,Databases,SQL Basics,Hard,53,73,50.22,Medium,3.87
54,Databases,SQL Basics,Hard,50,36,90.27,Medium,2.38
55,Python,OOP,Easy,69,130,62.86,Medium,2.97
56,Python,Modules,Easy,66,50,63.19,High,2.23
57,Python,File Handling,Hard,79,53,88.18,High,2.94
58,Python,File Handling,Hard,68,27,59.17,High,3.95
59,Databases,Indexes,Hard,50,65,80.88,High,2.34
60,Operating Systems,Processes,Hard,64,111,80.83,Medium,2.89
61,Operating Systems,Processes,Hard,47,113,62.23,High,3.86
62,Machine Learning,Regression,Hard,99,95,55.51,High,3.45
63,Python,Exceptions,Easy,96,158,72.27,High,1.58
64,Databases,Joins,Medium,95,169,66.05,Low,3.81
65,DSA,Stack,Hard,75,33,69.87,High,3.61
66,Databases,Normalization,Medium,79,151,89.39,Low,2.87
67,Databases,Indexes,Hard,52,21,76.49,Medium,2.59
68,Databases,Joins,Hard,43,81,99.95,Low,3.08
69,Databases,Joins,Hard,56,141,97.03,Low,3.39
70,Databases,Joins,Medium,72,138,97.78,Medium,2.37
71,Python,Modules,Medium,78,34,65.11,Low,3.64
72,DSA,Linked List,Hard,84,55,82.93,High,2.74
73,Operating Systems,Processes,Easy,70,23,74.89,High,1.31
74,DSA,Stack,Easy,79,119,79.16,Medium,1.39
75,Python,Modules,Easy,77,179,94.83,Medium,1.73
76,DSA,Graphs,Easy,72,136,85.72,High,1.52
77,Machine Learning,Classification,Hard,59,49,59.91,Medium,3.63
78,Databases,Indexes,Hard,69,132,53.72,Medium,3.65
79,Databases,SQL Basics,Easy,82,55,81.68,High,1.84
80,Machine Learning,Neural Networks,Easy,40,47,85.75,Medium,1.91
81,Operating Systems,Deadlocks,Hard,93,85,70.11,Low,3.45
82,Databases,Indexes,Hard,86,87,61.78,High,3.86
83,Python,Modules,Easy,45,74,81.18,High,1.41
84,Databases,Indexes,Hard,94,98,85.25,High,2.72
85,DSA,Stack,Medium,96,120,85.07,Low,2.26
86,Databases,Joins,Hard,40,58,64.19,Low,3.76
87,Operating Systems,Threads,Hard,69,95,50.57,Low,4.11
88,Machine Learning,Regression,Easy,70,164,92.44,High,1.73
89,Operating Systems,Processes,Hard,78,103,53.83,Low,4.08
90,Databases,SQL Basics,Medium,53,75,98.27,High,2.07
91,Machine Learning,SVM,Easy,97,83,54.86,Low,3.11
92,Python,Exceptions,Easy,49,121,73.4,Medium,1.36
93,Python,File Handling,Medium,51,151,97.84,Low,2.27
94,Python,OOP,Easy,63,104,96.95,Low,2.18
95,Operating Systems,Memory,Medium,85,146,60.85,Low,3.24
96,Machine Learning,Classification,Easy,63,48,92.56,High,1.71
97,Python,Exceptions,Easy,49,99,80.3,Medium,1.41
98,DSA,Stack,Easy,50,109,97.93,Low,2.28
99,Databases,SQL Basics,Hard,40,78,50.06,Low,4.13
100,Databases,SQL Basics,Medium,95,107,94.08,Medium,2.2
101,Databases,Joins,Easy,80,83,50.35,High,2.97
102,Databases,Normalization,Medium,40,118,75.54,Low,2.27
103,Operating Systems,Processes,Easy,73,178,60.91,Low,3.46
104,Machine Learning,Clustering,Medium,69,54,54.33,Medium,3.1
105,DSA,Queue,Medium,82,152,83.36,High,2.32
106,Machine Learning,Neural Networks,Medium,85,123,59.62,Medium,3.38
107,Databases,SQL Basics,Easy,83,102,85.65,High,1.73
108,DSA,Trees,Medium,86,130,78.01,Medium,2.24
109,Python,Modules,Easy,48,51,89.94,High,1.85
110,Operating Systems,Processes,Medium,57,138,77.68,High,2.0
111,Databases,Normalization,Hard,80,165,74.79,High,2.37
112,Operating Systems,Threads,Hard,95,80,80.5,High,2.52
113,Operating Systems,Threads,Hard,63,63,98.51,Medium,2.35
114,Databases,SQL Basics,Medium,98,88,96.69,Medium,2.1
115,Databases,Normalization,Medium,42,170,51.05,High,3.21
116,Python,Basics,Hard,79,128,97.5,Low,3.0
117,Databases,SQL Basics,Medium,100,139,82.39,Medium,1.91
118,Python,OOP,Medium,75,49,74.73,High,1.99
119,Python,Modules,Medium,77,81,94.77,Low,2.41
120,DSA,Queue,Easy,79,143,99.45,Medium,1.79
121,Databases,SQL Basics,Medium,86,46,87.63,Medium,1.77
122,Python,Basics,Medium,85,32,78.69,Low,2.92
123,Python,Exceptions,Hard,53,46,91.35,High,2.92
124,Databases,Normalization,Hard,97,75,83.63,Medium,2.24
125,DSA,Trees,Medium,90,172,77.99,High,1.99
126,Python,Basics,Hard,68,49,81.4,Medium,2.95
127,Operating Systems,Deadlocks,Easy,48,66,75.56,Medium,1.76
128,Operating Systems,Threads,Easy,48,72,50.47,Low,2.89
129,Machine Learning,Regression,Hard,99,180,91.24,High,2.23
130,Machine Learning,SVM,Easy,56,107,85.82,High,1.45
131,Databases,Normalization,Easy,76,145,73.46,Medium,1.86
132,Machine Learning,Clustering,Hard,62,68,52.69,Low,3.81
133,Databases,Indexes,Medium,88,115,79.34,Low,2.77
134,DSA,Trees,Easy,69,36,59.71,Low,3.33
135,DSA,Arrays,Medium,75,76,62.4,High,2.85
136,Databases,Joins,Easy,46,78,77.4,High,1.38
137,Machine Learning,SVM,Hard,70,27,65.5,Low,4.06
138,Python,Exceptions,Hard,74,174,84.76,Medium,2.23
139,Python,File Handling,Medium,45,157,51.51,Low,3.34
140,Databases,Joins,Easy,87,155,87.38,Low,1.93
141,Machine Learning,Classification,Easy,85,156,91.24,Medium,1.43
142,Operating Systems,Deadlocks,Hard,79,162,69.86,Medium,3.92
143,Operating Systems,Memory,Easy,59,27,73.54,Medium,1.6
144,Machine Learning,Classification,Easy,75,60,70.78,Low,2.13
145,Databases,Indexes,Easy,52,30,98.62,High,1.71
146,Databases,Indexes,Easy,64,159,90.15,High,1.89
147,Machine Learning,Regression,Hard,94,114,89.0,Low,3.35
148,DSA,Trees,Hard,83,94,99.33,High,2.3
149,Operating Systems,Threads,Easy,86,91,54.36,Low,3.21
150,Python,Basics,Medium,70,124,72.11,High,2.29
151,Machine Learning,SVM,Easy,92,159,94.46,Low,2.11
152,Machine Learning,Neural Networks,Medium,78,27,68.78,Low,3.96
153,Databases,Joins,Easy,91,141,58.61,Low,3.3
154,Databases,Normalization,Medium,71,148,60.36,High,3.42
155,Databases,SQL Basics,Easy,93,51,73.13,Medium,1.25
156,DSA,Graphs,Hard,58,46,87.46,High,2.4
157,Operating Systems,Deadlocks,Easy,57,65,91.11,Low,2.14
158,Operating Systems,Deadlocks,Hard,82,148,83.27,High,2.91
159,Operating Systems,Memory,Medium,61,175,52.8,Low,3.65
160,Machine Learning,Classification,Easy,70,50,90.79,High,1.39
161,Databases,Indexes,Hard,89,171,71.52,Low,3.48
162,Databases,Normalization,Hard,57,123,75.47,Low,2.72
163,DSA,Linked List,Medium,98,72,53.93,High,3.03
164,DSA,Linked List,Hard,66,52,97.27,High,2.22
165,Python,File Handling,Hard,71,163,52.75,High,3.4
166,Python,File Handling,Medium,50,167,86.16,Medium,2.38
167,Databases,SQL Basics,Medium,55,39,81.56,Low,2.28
168,Machine Learning,Regression,Hard,69,133,77.31,High,2.76
169,DSA,Linked List,Medium,81,94,76.23,Low,2.32
170,Operating Systems,Processes,Hard,55,114,53.96,High,3.73
171,DSA,Trees,Hard,41,27,86.77,High,2.73
172,DSA,Trees,Easy,57,80,99.53,High,1.27
173,Databases,Indexes,Medium,93,95,87.69,High,1.78
174,Databases,SQL Basics,Easy,89,53,82.52,Medium,1.93
175,Python,Modules,Medium,63,91,87.17,Medium,2.06
176,Python,Exceptions,Hard,73,168,77.59,Medium,2.93
177,Python,File Handling,Medium,68,123,70.69,High,2.19
178,Operating Systems,Deadlocks,Medium,42,114,94.5,Medium,2.19
179,Databases,SQL Basics,Medium,42,88,98.57,Low,2.37
180,Operating Systems,Processes,Hard,69,152,92.47,Low,2.88
181,Databases,Indexes,Easy,62,29,84.64,Low,1.98
182,DSA,Stack,Medium,97,178,74.96,Medium,2.45
183,Python,File Handling,Easy,94,162,63.0,High,2.91
184,Machine Learning,Clustering,Hard,51,84,68.29,High,3.99
185,DSA,Stack,Medium,45,149,52.79,High,3.33
186,Machine Learning,Classification,Easy,80,152,62.89,Medium,2.46
187,Operating Systems,Processes,Medium,54,90,69.36,Medium,3.41
188,DSA,Queue,Medium,40,149,62.93,High,2.9
189,Machine Learning,SVM,Medium,60,38,74.63,Low,2.7
190,Operating Systems,Deadlocks,Easy,52,106,94.7,Medium,1.49
191,Machine Learning,SVM,Medium,59,107,61.38,Medium,3.19
192,Databases,Joins,Easy,93,45,54.01,Medium,2.76
193,Operating Systems,Threads,Easy,46,31,54.0,Medium,2.7
194,Python,Basics,Medium,94,107,70.21,High,2.36
195,Machine Learning,Regression,Easy,95,170,51.16,Low,2.85
196,DSA,Stack,Hard,100,159,58.89,High,3.46
197,DSA,Linked List,Hard,43,125,92.54,Medium,2.6
198,Machine Learning,Classification,Hard,82,150,84.65,High,2.3
199,Databases,SQL Basics,Medium,69,23,82.53,Low,2.41
200,DSA,Linked List,Hard,65,150,64.83,Medium,3.54
201,Databases,Indexes,Easy,68,48,99.66,High,1.87
202,Operating Systems,Memory,Easy,43,131,95.63,High,1.51
203,Python,File Handling,Easy,88,47,96.38,High,1.95
204,Operating Systems,Deadlocks,Easy,46,88,73.98,Medium,1.24
205,DSA,Trees,Hard,78,180,83.11,Medium,2.53
206,Machine Learning,Clustering,Easy,61,100,58.23,Low,3.0
207,Operating Systems,Threads,Hard,82,130,80.82,High,2.87
208,Operating Systems,Processes,Easy,88,22,83.9,High,1.51
209,Operating Systems,Processes,Medium,95,31,89.6,Low,2.69
210,Machine Learning,Neural Networks,Easy,54,128,94.09,High,1.4
211,Operating Systems,Processes,Hard,76,132,60.96,Low,3.89
212,Python,File Handling,Medium,60,121,92.29,Medium,1.82
213,Operating Systems,Memory,Medium,65,119,58.77,High,3.14
214,Python,File Handling,Medium,50,170,81.89,Low,2.98
215,Databases,Indexes,Medium,40,137,55.43,Low,3.47
216,DSA,Stack,Hard,47,157,75.29,High,2.77
217,Databases,Normalization,Hard,49,168,91.73,High,2.33
218,DSA,Graphs,Hard,52,27,70.37,High,2.79
219,Operating Systems,Processes,Easy,96,107,53.8,Low,2.83
220,Databases,Normalization,Medium,71,92,78.7,Medium,1.89
221,DSA,Linked List,Easy,54,168,77.78,Medium,1.74
222,Machine Learning,Clustering,Hard,81,45,74.33,High,2.88
223,Databases,Normalization,Easy,59,93,62.98,Medium,2.82
224,DSA,Arrays,Hard,81,63,90.59,High,2.91
225,DSA,Linked List,Hard,47,114,81.42,Medium,2.96
226,DSA,Arrays,Medium,55,56,83.94,High,2.18
227,Databases,Indexes,Easy,100,110,56.92,High,2.96
228,Operating Systems,Processes,Easy,84,107,57.96,High,2.83
229,Operating Systems,Deadlocks,Hard,98,154,55.37,Medium,3.52
230,DSA,Queue,Hard,76,96,94.98,Low,3.02
231,Operating Systems,Deadlocks,Hard,96,103,62.42,Low,3.97
232,Python,File Handling,Hard,42,43,57.76,Medium,3.86
233,DSA,Graphs,Easy,97,83,93.56,Low,1.79
234,Databases,Indexes,Medium,71,70,61.18,Low,3.64
235,Operating Systems,Threads,Hard,59,115,72.15,High,2.76
236,Operating Systems,Memory,Hard,68,29,80.42,Low,2.98
237,Operating Systems,Deadlocks,Easy,58,161,50.85,Low,2.71
238,Machine Learning,Regression,Easy,63,58,66.46,Medium,2.74
239,Databases,Joins,Hard,78,131,86.43,High,2.23
240,Operating Systems,Memory,Hard,90,75,60.66,Low,4.15
241,Python,File Handling,Medium,51,22,74.26,High,1.82
242,Databases,SQL Basics,Hard,62,135,54.22,Medium,3.51
243,Python,Exceptions,Medium,62,107,58.56,Medium,3.03
244,Databases,Indexes,Hard,51,150,94.27,Medium,2.68
245,Databases,Normalization,Easy,92,27,61.63,High,2.74
246,Databases,Normalization,Easy,84,141,61.31,Medium,2.67
247,Operating Systems,Processes,Hard,50,59,78.45,Medium,2.25
248,Python,Modules,Easy,63,27,86.13,Medium,1.25
249,Databases,Normalization,Medium,70,158,87.45,Low,2.52
250,Machine Learning,Regression,Medium,87,169,82.37,Low,2.36
251,Machine Learning,SVM,Medium,86,118,59.43,Low,3.2
252,DSA,Arrays,Medium,72,100,61.32,Medium,3.06
253,DSA,Queue,Hard,83,35,89.07,Low,2.93
254,Databases,Indexes,Medium,94,135,58.67,Low,3.31
255,Databases,Indexes,Hard,88,110,91.1,Low,2.75
256,DSA,Trees,Medium,50,172,61.63,Low,3.26
257,DSA,Linked List,Medium,96,136,63.26,Low,3.86
258,Operating Systems,Threads,Easy,51,46,95.12,Low,1.94
259,Databases,Joins,Medium,42,75,73.19,Low,2.89
260,Machine Learning,SVM,Hard,87,87,65.61,Low,3.74
261,Python,Basics,Hard,91,68,99.96,Medium,2.85
262,DSA,Queue,Medium,67,88,95.11,Low,2.8
263,Machine Learning,SVM,Medium,83,131,99.02,Low,2.92
264,Databases,Normalization,Medium,91,36,91.99,Medium,2.02
265,Operating Systems,Memory,Hard,73,140,67.46,Medium,3.97
266,Operating Systems,Memory,Hard,47,119,79.1,Medium,2.53
267,Operating Systems,Processes,Hard,82,38,89.51,Medium,2.91
268,Databases,Normalization,Easy,62,40,86.6,High,1.86
269,Python,OOP,Medium,46,69,66.77,Low,3.22
270,Operating Systems,Processes,Medium,88,84,53.82,Medium,3.49
271,Operating Systems,Processes,Easy,64,152,58.58,Low,2.95
272,Operating Systems,Threads,Hard,49,24,93.14,Low,3.45
273,Operating Systems,Threads,Easy,54,175,70.89,Medium,1.46
274,Machine Learning,Neural Networks,Medium,84,95,80.96,Low,2.2
275,Python,Exceptions,Medium,58,78,63.11,High,3.5
276,Python,File Handling,Medium,82,151,90.71,High,2.32
277,DSA,Arrays,Hard,83,127,94.05,Medium,2.43
278,DSA,Arrays,Hard,95,172,96.18,High,2.45
279,Machine Learning,Regression,Hard,79,97,94.2,Low,3.18
280,Databases,Indexes,Hard,93,91,53.69,High,3.44
281,Machine Learning,Classification,Hard,91,151,51.12,High,3.23
282,Operating Systems,Threads,Hard,64,69,59.99,Medium,3.82
283,Databases,Indexes,Hard,77,44,76.84,Low,2.82
284,Python,OOP,Medium,94,121,70.08,Medium,2.38
285,Python,Basics,Medium,85,67,72.7,Low,2.26
286,Operating Systems,Deadlocks,Easy,89,117,87.89,Low,2.09
287,Operating Systems,Processes,Hard,83,136,66.54,High,3.7
288,DSA,Arrays,Medium,91,133,59.47,High,3.2
289,Machine Learning,Regression,Hard,53,102,74.2,Medium,2.26
290,Operating Systems,Processes,Medium,98,152,75.32,High,1.74
291,Operating Systems,Memory,Easy,100,171,81.42,Low,2.42
292,DSA,Linked List,Medium,96,135,89.91,Low,2.25
